,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,Title,BooleanGender,NumericalEmbarked,NumericalTitle,NumericalSurvived,TravelingWith
0,No,3,male,22.0,1,0,7.25,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
1,Yes,1,female,38.0,1,0,71.2833,C,2,Mrs,1,2.0,3.0,1,Female TW/ Family
2,Yes,3,female,26.0,0,0,7.925,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
3,Yes,1,female,35.0,1,0,53.1,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
4,No,3,male,35.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
5,No,3,male,35.0,0,0,8.4583,Q,1,Mr,0,3.0,4.0,0,Male TW/ Family
6,No,1,male,54.0,0,0,51.8625,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
7,No,3,male,2.0,3,1,21.075,S,5,Master,0,1.0,1.0,0,Child TW/ Family
8,Yes,3,female,27.0,0,2,11.1333,S,3,Mrs,1,1.0,3.0,1,Female TW/ Family
9,Yes,2,female,14.0,1,0,30.0708,C,2,Mrs,1,2.0,3.0,1,Child TW/ Parent
10,Yes,3,female,4.0,1,1,16.7,S,3,Miss,1,1.0,2.0,1,Child TW/ Family
11,Yes,1,female,58.0,0,0,26.55,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
12,No,3,male,20.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
13,No,3,male,39.0,1,5,31.275,S,7,Mr,0,1.0,4.0,0,Male TW/ Family
14,No,3,female,14.0,0,0,7.8542,S,1,Miss,1,1.0,2.0,0,Child TW/ Nanny
15,Yes,2,female,55.0,0,0,16.0,S,1,Mrs,1,1.0,3.0,1,Female TW/ Family
16,No,3,male,2.0,4,1,29.125,Q,6,Master,0,3.0,1.0,0,Child TW/ Family
17,Yes,2,male,33.0,0,0,13.0,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
18,No,3,female,31.0,1,0,18.0,S,2,Mrs,1,1.0,3.0,0,Female TW/ Family
19,Yes,3,female,33.0,0,0,7.225,C,1,Mrs,1,2.0,3.0,1,Female TW/ Family
20,No,2,male,35.0,0,0,26.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
21,Yes,2,male,34.0,0,0,13.0,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
22,Yes,3,female,15.0,0,0,8.0292,Q,1,Miss,1,3.0,2.0,1,Child TW/ Nanny
23,Yes,1,male,28.0,0,0,35.5,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
24,No,3,female,8.0,3,1,21.075,S,5,Miss,1,1.0,2.0,0,Child TW/ Family
25,Yes,3,female,38.0,1,5,31.3875,S,7,Mrs,1,1.0,3.0,1,Female TW/ Family
26,No,3,male,20.0,0,0,7.225,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
27,No,1,male,19.0,3,2,263.0,S,6,Mr,0,1.0,4.0,0,Male TW/ Family
28,Yes,3,female,12.0,0,0,7.8792,Q,1,Miss,1,3.0,2.0,1,Child TW/ Nanny
29,No,3,male,44.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
30,No,1,male,40.0,0,0,27.7208,C,1,Royalty,0,2.0,5.0,0,Male TW/ Family
31,Yes,1,female,24.0,1,0,146.5208,C,2,Mrs,1,2.0,3.0,1,Female TW/ Family
32,Yes,3,female,33.0,0,0,7.75,Q,1,Miss,1,3.0,2.0,1,Female TW/ Family
33,No,2,male,66.0,0,0,10.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
34,No,1,male,28.0,1,0,82.1708,C,2,Mr,0,2.0,4.0,0,Male TW/ Family
35,No,1,male,42.0,1,0,52.0,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
36,Yes,3,male,31.0,0,0,7.2292,C,1,Mr,0,2.0,4.0,1,Male TW/ Family
37,No,3,male,21.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
38,No,3,female,18.0,2,0,18.0,S,3,Miss,1,1.0,2.0,0,Female TW/ Family
39,Yes,3,female,14.0,1,0,11.2417,C,2,Miss,1,2.0,2.0,1,Child TW/ Parent
40,No,3,female,40.0,1,0,9.475,S,2,Mrs,1,1.0,3.0,0,Female TW/ Family
41,No,2,female,27.0,1,0,21.0,S,2,Mrs,1,1.0,3.0,0,Female TW/ Family
42,No,3,male,27.0,0,0,7.8958,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
43,Yes,2,female,3.0,1,2,41.5792,C,4,Miss,1,2.0,2.0,1,Child TW/ Family
44,Yes,3,female,19.0,0,0,7.8792,Q,1,Miss,1,3.0,2.0,1,Female TW/ Family
45,No,3,male,32.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
46,No,3,male,24.0,1,0,15.5,Q,2,Mr,0,3.0,4.0,0,Male TW/ Family
47,Yes,3,female,11.0,0,0,7.75,Q,1,Miss,1,3.0,2.0,1,Child TW/ Nanny
48,No,3,male,30.0,2,0,21.6792,C,3,Mr,0,2.0,4.0,0,Male TW/ Family
49,No,3,female,18.0,1,0,17.8,S,2,Mrs,1,1.0,3.0,0,Female TW/ Family
50,No,3,male,7.0,4,1,39.6875,S,6,Master,0,1.0,1.0,0,Child TW/ Family
51,No,3,male,21.0,0,0,7.8,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
52,Yes,1,female,49.0,1,0,76.7292,C,2,Mrs,1,2.0,3.0,1,Female TW/ Family
53,Yes,2,female,29.0,1,0,26.0,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
54,No,1,male,65.0,0,1,61.9792,C,2,Mr,0,2.0,4.0,0,Male TW/ Family
55,Yes,1,male,26.0,0,0,35.5,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
56,Yes,2,female,21.0,0,0,10.5,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
57,No,3,male,28.5,0,0,7.2292,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
58,Yes,2,female,5.0,1,2,27.75,S,4,Miss,1,1.0,2.0,1,Child TW/ Family
59,No,3,male,11.0,5,2,46.9,S,8,Master,0,1.0,1.0,0,Child TW/ Family
60,No,3,male,22.0,0,0,7.2292,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
61,Yes,1,female,38.0,0,0,80.0,,1,Miss,1,,2.0,1,Female TW/ Family
62,No,1,male,45.0,1,0,83.475,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
63,No,3,male,4.0,3,2,27.9,S,6,Master,0,1.0,1.0,0,Child TW/ Family
64,No,1,male,35.0,0,0,27.7208,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
65,Yes,3,male,1.0,1,1,15.2458,C,3,Master,0,2.0,1.0,1,Child TW/ Family
66,Yes,2,female,29.0,0,0,10.5,S,1,Mrs,1,1.0,3.0,1,Female TW/ Family
67,No,3,male,19.0,0,0,8.1583,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
68,Yes,3,female,17.0,4,2,7.925,S,7,Miss,1,1.0,2.0,1,Female TW/ Family
69,No,3,male,26.0,2,0,8.6625,S,3,Mr,0,1.0,4.0,0,Male TW/ Family
70,No,2,male,32.0,0,0,10.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
71,No,3,female,16.0,5,2,46.9,S,8,Miss,1,1.0,2.0,0,Female TW/ Family
72,No,2,male,21.0,0,0,73.5,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
73,No,3,male,26.0,1,0,14.4542,C,2,Mr,0,2.0,4.0,0,Male TW/ Family
74,Yes,3,male,32.0,0,0,56.4958,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
75,No,3,male,25.0,0,0,7.65,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
76,No,3,male,29.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
77,No,3,male,35.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
78,Yes,2,male,0.83,0,2,29.0,S,3,Master,0,1.0,1.0,1,Child TW/ Sibling
79,Yes,3,female,30.0,0,0,12.475,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
80,No,3,male,22.0,0,0,9.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
81,Yes,3,male,29.0,0,0,9.5,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
82,Yes,3,female,23.0,0,0,7.7875,Q,1,Miss,1,3.0,2.0,1,Female TW/ Family
83,No,1,male,28.0,0,0,47.1,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
84,Yes,2,female,17.0,0,0,10.5,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
85,Yes,3,female,33.0,3,0,15.85,S,4,Mrs,1,1.0,3.0,1,Female TW/ Family
86,No,3,male,16.0,1,3,34.375,S,5,Mr,0,1.0,4.0,0,Male TW/ Family
87,No,3,male,27.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
88,Yes,1,female,23.0,3,2,263.0,S,6,Miss,1,1.0,2.0,1,Female TW/ Family
89,No,3,male,24.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
90,No,3,male,29.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
91,No,3,male,20.0,0,0,7.8542,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
92,No,1,male,46.0,1,0,61.175,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
93,No,3,male,26.0,1,2,20.575,S,4,Mr,0,1.0,4.0,0,Male TW/ Family
94,No,3,male,59.0,0,0,7.25,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
95,No,3,male,40.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
96,No,1,male,71.0,0,0,34.6542,C,1,Mr,0,2.0,4.0,0,Male TW/ Family
97,Yes,1,male,23.0,0,1,63.3583,C,2,Mr,0,2.0,4.0,1,Male TW/ Family
98,Yes,2,female,34.0,0,1,23.0,S,2,Mrs,1,1.0,3.0,1,Female TW/ Family
99,No,2,male,34.0,1,0,26.0,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
100,No,3,female,28.0,0,0,7.8958,S,1,Miss,1,1.0,2.0,0,Female TW/ Family
101,No,3,male,22.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
102,No,1,male,21.0,0,1,77.2875,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
103,No,3,male,33.0,0,0,8.6542,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
104,No,3,male,37.0,2,0,7.925,S,3,Mr,0,1.0,4.0,0,Male TW/ Family
105,No,3,male,28.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
106,Yes,3,female,21.0,0,0,7.65,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
107,Yes,3,male,43.0,0,0,7.775,S,1,Mr,0,1.0,4.0,1,Male TW/ Family
108,No,3,male,38.0,0,0,7.8958,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
109,Yes,3,female,27.0,1,0,24.15,Q,2,Miss,1,3.0,2.0,1,Female TW/ Family
110,No,1,male,47.0,0,0,52.0,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
111,No,3,female,14.5,1,0,14.4542,C,2,Miss,1,2.0,2.0,0,Child TW/ Parent
112,No,3,male,22.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
113,No,3,female,20.0,1,0,9.825,S,2,Miss,1,1.0,2.0,0,Female TW/ Family
114,No,3,female,17.0,0,0,14.4583,C,1,Miss,1,2.0,2.0,0,Female TW/ Family
115,No,3,male,21.0,0,0,7.925,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
116,No,3,male,70.5,0,0,7.75,Q,1,Mr,0,3.0,4.0,0,Male TW/ Family
117,No,2,male,29.0,1,0,21.0,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
118,No,1,male,24.0,0,1,247.5208,C,2,Mr,0,2.0,4.0,0,Male TW/ Family
119,No,3,female,2.0,4,2,31.275,S,7,Miss,1,1.0,2.0,0,Child TW/ Family
120,No,2,male,21.0,2,0,73.5,S,3,Mr,0,1.0,4.0,0,Male TW/ Family
121,No,3,male,36.0,0,0,8.05,S,1,Mr,0,1.0,4.0,0,Male TW/ Family
122,No,2,male,32.5,1,0,30.0708,C,2,Mr,0,2.0,4.0,0,Male TW/ Family
123,Yes,2,female,32.5,0,0,13.0,S,1,Miss,1,1.0,2.0,1,Female TW/ Family
124,No,1,male,54.0,0,1,77.2875,S,2,Mr,0,1.0,4.0,0,Male TW/ Family
